x1,x2,y1,data_set_number,data_set
0.34894,0.015202,0.12149929294,341,LHS_Training_6
0.437523,0.661256,0.400707687777333,10,LHS_Vald_1
0.7660809882,0.3078930122,0.424611322956359,400032,selectiveSobolSampling_Vald_XX
0.046034,0.96709,0.198785843863333,813,Rand_Training_8
0.586,0.31168,0.33860224,560,LHS_Training_7
0.044199,0.84781,0.174770843761667,458,Rand_Training_8
0.061749,0.088255,0.0380169956641667,470,LHS_Training_7
0.15223,0.033932,0.0589814008466667,415,Rand_Training_4
0.79734,0.96078,0.8089441626,81,Rand_Training_1
0.89666,0.25238,0.4540995254,12,selectiveSobolSampling_Train_XX
0.25021,0.14321,0.125187953716667,12,LHS_Training_2
0.45714,0.58211,0.382451216033333,110,LHS_Training_1
0.96302945,0.15831307,0.423625402698289,1472,Testing
0.68271,0.22715,0.342967121583333,292,LHS_Training_9
0.21818847,0.16620157,0.118561384801616,1515,Testing
0.003810896,0.6813329,0.116124026411639,36,Rand_Vald_8
0.05932521,0.9658933,0.209408198096713,6,LHS_Vald_9
0.233,0.97161,0.352794231666667,588,LHS_Training_6
0.24174426,0.90643712,0.341217258738799,59,Testing
0.30673,0.57392,0.285915907466667,267,LHS_Training_5
0.62934,0.0055698,0.212460948966,44,LHS_Training_3
0.99162,0.99984,0.9929106704,472,Rand_Training_4
0.4797,0.79849,0.484499493166667,113,LHS_Training_4
0.74661,0.9002,0.734952494333333,11690,selectiveSobolSampling_Train_XX
0.89579,0.83023,0.808824199183333,91,LHS_Training_2
0.47543,0.36403,0.305683724783333,194,Rand_Training_9
0.9828,0.89409,0.915970826,724,regularSobol_Training_6
0.93379,0.84649,0.84756694855,66,LHS_Training_9
0.92053,0.4064,0.561628362666667,14,LHS_Training_1
0.1480689,0.8030861,0.242660021049478,161,LHS_Vald_9
0.82098,0.42196,0.517197027066667,761,Rand_Training_9
0.49412,0.89936,0.5367958816,706,Rand_Training_9
0.22231,0.64077,0.252123122683333,891,LHS_Training_9
0.84048837,0.094451591,0.335597453715082,836,Testing
0.018776103,0.092955168,0.0226238969043751,927,Testing
0.4218385,0.850022,0.461569169390167,39,LHS_Vald_8
0.51013,0.7616,0.491234170666667,926,LHS_Training_9
0.2073756,0.13927716,0.106779402310648,427,Testing
0.046182014,0.27503159,0.0675833593699111,1391,Testing
0.56848,0.46393,0.3986824632,21,LHS_Training_2
0.53075,0.36403,0.334192794583333,8,LHS_Training_5
0.37161,0.33134,0.240657962033333,504,Rand_Training_9
0.6192649,0.2245121,0.313356548244312,830,regularSobol_Vald_6
0.99137318,0.10686554,0.401240465111109,1520,Testing
0.28264,0.22202,0.162592533066667,325,LHS_Training_6
0.8296,0.39655,0.50711394,439,LHS_Training_4
0.46528,0.52292,0.363898775466667,173,Rand_Training_9
0.84394,0.52219,0.5886935143,101,Rand_Training_5
0.99914,0.7055,0.803076635,1140,regularSobol_Training_9
0.95989,0.48068,0.630776629266667,551,LHS_Training_8
0.28441,0.012342,0.0986154274433333,389,Rand_Training_8
0.47023725,0.32878288,0.288845875335807,1813,Testing
0.039056,0.98128,0.195727769173333,264,Rand_Training_9
0.53075,0.60081,0.436491620416667,16,Rand_Training_5
0.71869,0.31676,0.406182788866667,218,regularSobol_Training_1
0.87033,0.21424,0.419046416266667,4,Rand_Training_1
0.10779,0.54499,0.156133902716667,528,LHS_Training_7
0.66075,0.31809,0.37835398375,312,Rand_Training_6
0.511427707,0.2681916539,0.283754832611974,400166,selectiveSobolSampling_Vald_XX
0.85985,0.84593,0.79129145525,84,LHS_Training_0
0.7811,0.29818,0.426517532333333,479,Rand_Training_4
0.92482,0.094021,0.36741975061,558,LHS_Training_8
0.98848,0.38262,0.582369442133333,259,LHS_Training_7
0.37406,0.46077,0.287659479766667,389,LHS_Training_3
0.67055,0.1173,0.282394424166667,258,LHS_Training_4
0.97515,0.97267,0.961411241916667,27,LHS_Training_5
0.2514035,0.06710604,0.103420853330237,2,LHS_Vald_6
0.78322,0.75487,0.6824996407,93,LHS_Training_5
0.64396555,0.9073116,0.658012490091023,826,Testing
0.041640157,0.71564736,0.148054446546851,239,Testing
0.61096,0.63367,0.5028385116,344,LHS_Training_8
0.47573,0.74702,0.4607699123,307,regularSobol_Training_2
0.55225,0.036681,0.200325374458333,75190,selectiveSobolSampling_Train_XX
0.28535,0.15773,0.14390912775,751,regularSobol_Training_6
0.96163,0.59776,0.7075819744,21636,selectiveSobolSampling_Train_XX
0.71832,0.84754,0.685099133066667,136,Rand_Training_3
0.37036,0.4588,0.284880584,62,LHS_Training_4
0.00116514,0.9948951,0.166783826038407,138,Rand_Vald_8
0.71476,0.64527,0.576404925933333,780,LHS_Training_8
0.8128,0.49575,0.555031133333333,350,LHS_Training_4
0.4466662,0.58855352,0.378424468804179,709,Testing
0.4526,0.89414,0.502233882,539,Rand_Training_6
0.1364438,0.1477041,0.0801752710064567,150,LHS_Vald_7
0.94073,0.96641,0.92921043965,254,Rand_Training_6
0.40471,0.40161,0.283106124883333,88,LHS_Training_6
0.39636,0.0044531,0.133744698691333,5,Rand_Training_5
0.49291,0.15562,0.2285933271,382,LHS_Training_3
0.50476,0.38563,0.3298502994,914,Rand_Training_9
0.51124915,0.048087638,0.190723371693171,1190,Testing
0.2162545,0.2845652,0.150281619188367,20,Rand_Vald_8
0.65478,0.70637,0.567246807633333,61,Rand_Training_9
0.42134283,0.8992097,0.479753673214059,1053,Testing
0.14916,0.54922,0.182217494266667,188,LHS_Training_7
0.69703,0.35962,0.4176129643,762,regularSobol_Training_6
0.20241,0.12988,0.102261172066667,469,LHS_Training_8
0.85915312,0.99733545,0.881038880110385,628,Testing
0.53338,0.46585,0.3796725365,737,Rand_Training_9
0.63732,0.9509,0.673937127333333,542,LHS_Training_9
0.7196644,0.2625422,0.378116304085507,56,Rand_Vald_7
0.75678,0.010274,0.257859912193333,23,LHS_Training_3
0.83768,0.74653,0.716324958533333,663,Rand_Training_6
0.37693,0.1931,0.194219258166667,259,LHS_Training_8
0.54141,0.20873,0.271762587983333,524,LHS_Training_5
0.620252,0.291761,0.345860171886,12,Rand_Vald_0
0.61875,0.88509,0.62758971875,35390,selectiveSobolSampling_Train_XX
0.55317,0.23072,0.286657024533333,298,Rand_Training_8
0.92087,0.47812,0.606786515533333,1052,regularSobol_Training_8
0.13419,0.39658,0.137435201766667,883,LHS_Training_9
0.77167,0.61747,0.59837653745,388,LHS_Training_6
0.43365,0.80751,0.45422335575,344,Rand_Training_8
0.20902,0.077155,0.09059596905,16185,selectiveSobolSampling_Train_XX
0.31291,0.12296,0.144034373466667,800,Rand_Training_9
0.0796182,0.5729254,0.144834611207807,134,LHS_Vald_9
0.88794,0.25883,0.454031088433333,708,LHS_Training_9
0.31547,0.37255,0.226012507583333,893,Rand_Training_8
0.40291,0.77812,0.4207461646,960,LHS_Training_9
0.75112247,0.97512701,0.779115229157457,1004,Testing
0.43788,0.0099833,0.149809627035333,474,Rand_Training_6
0.70446,0.22979,0.354057265033333,159,LHS_Training_1
0.2574,0.23242,0.154449120666667,109,Rand_Training_8
0.19947,0.3969,0.1722248215,822,Rand_Training_8
0.81168,0.60907,0.619256635466667,100,LHS_Training_4
0.084182707,0.0018727586,0.0284518557109194,215,Testing
0.39239,0.60765,0.351289558416667,225,LHS_Training_9
0.10273,0.73839,0.195235735683333,36,Rand_Training_4
0.19023428,0.5055986,0.195768952820004,1931,Testing
0.61402,0.6605,0.517536771666667,1406,selectiveSobolSampling_Train_XX
0.45365,0.74212,0.443234702333333,137,LHS_Training_9
0.37404,0.672873,0.36266620846,5,Rand_Vald_1
0.66196,0.7862,0.611903142666667,52,LHS_Training_9
0.99227,0.79974,0.860825671566667,77,Rand_Training_8
0.11037956,0.84629139,0.224548387296661,1735,Testing
0.55483652,0.28003992,0.309307014003606,406,Testing
0.072795,0.077562,0.040015062895,254,Rand_Training_9
0.95435,0.35862,0.549011165166667,101,LHS_Training_8
0.6592236,0.86317034,0.648114052807345,1290,Testing
0.98646,0.0014148,0.329753621804,320,Rand_Training_9
0.7536,0.21998,0.370751797333333,75,Rand_Training_8
0.45328,0.54822,0.366711914133333,202,LHS_Training_7
0.67239,0.75741,0.60500245495,132,LHS_Training_5
0.56281463,0.88881663,0.585860483042315,1582,Testing
0.586058,0.3591311,0.3604436771019,15,Rand_Vald_6
0.7784,0.20865,0.375448246666667,420,LHS_Training_8
0.16548,0.78009,0.2497196466,572,LHS_Training_9
0.25091,0.46389,0.219148986616667,689,Rand_Training_9
0.5009325936,0.7809940489,0.492755893267488,400102,selectiveSobolSampling_Vald_XX
0.075945,0.8123,0.191543395083333,475,LHS_Training_7
0.96339,0.19446,0.4472104097,21380,selectiveSobolSampling_Train_XX
0.80635,0.57957,0.599046468083333,679,Rand_Training_9
0.503926,0.530016,0.389855754741333,64,LHS_Vald_4
0.59808,0.43136,0.400247227733333,148,Rand_Training_8
0.43507,0.83853,0.467187956883333,487,Rand_Training_4
0.52686,0.46515,0.3756794645,757,Rand_Training_9
0.024131,0.56497,0.109021978868333,220,LHS_Training_2
0.62752,0.75576,0.572260590933333,708,Rand_Training_9
0.30592453,0.97777024,0.414498500559994,577,Testing
0.32501,0.63152,0.3162151576,151,regularSobol_Training_1
0.88312,0.95379,0.874493845733333,71404,selectiveSobolSampling_Train_XX
0.16629,0.15145,0.0932639769166667,1121,regularSobol_Training_9
0.43771,0.68102,0.408451298766667,583,Rand_Training_6
0.33831,0.029271,0.122599836005,878,LHS_Training_8
0.7827,0.87445,0.748857674166667,105,Rand_Training_5
0.27177229,0.97059863,0.384248107839648,1809,Testing
0.92175,0.12913,0.388284455416667,433,LHS_Training_5
0.72814,0.92117,0.731612028566667,392,Rand_Training_5
0.65426,0.30074,0.3665910762,45,Rand_Training_3
0.78632,0.11783,0.3280710428,6,Rand_Training_2
0.51217,0.2334,0.269393572333333,445,Rand_Training_8
0.993375,0.0376264,0.356084629216667,55,LHS_Vald_2
0.27147,0.3708,0.202620538,41,Rand_Training_4
0.9896332,0.04829191,0.361822023713706,31,LHS_Vald_7
0.46472027,0.54526883,0.372483633950092,1893,Testing
0.63845305,0.56407014,0.486895523981797,1626,Testing
0.92753333,0.79828963,0.812446167742517,1576,Testing
0.36133,0.032864,0.131858041226667,518,LHS_Training_5
0.040023,0.34447,0.0776460280716667,238,Rand_Training_9
0.55048,0.86665,0.566471746,644,Rand_Training_8
0.90013,0.59221,0.66527799365,798,LHS_Training_8
0.30381,0.97327,0.411326246016667,264,LHS_Training_4
0.5610637,0.8298709,0.558138268838165,130,LHS_Vald_8
0.26703,0.27986,0.173018841233333,405,Rand_Training_8
0.86158,0.70527,0.708561596633333,407,Rand_Training_9
0.062281,0.58088,0.135662560306667,87,Rand_Training_0
