produced_gas_molarflow,produced_gas_methane,produced_gas_ethane,produced_gas_propane,demethanizer_reflux_ratio,deethaner_reflux_ratio,debutanizer_reflux_ratio,demethanizer_reboiler_temp,deethaner_reboiler_temp,debutanizer_reboiler_temp,demethanizer_top_pressure,deethaner_top_pressure,debutanizer_top_pressure
257.454890308165,0.664643221355051,0.1091866087778,0.0637700698671491,1.07589,4.05354,5.84321,246.53,314.423,364.755,1064710,959251,527932
263.045344974138,0.663066061301089,0.106308369008883,0.0682254696900277,1.74649,3.52377,5.21536,257.508,311.287,361.834,1060260,733860,491239
273.861481973659,0.65382719824501,0.106934333548143,0.0768383682068465,1.17581,3.98151,5.52632,256.27,316.766,362.524,1245760,821738,474348
260.617345952147,0.660185703701613,0.110948849704186,0.0664653465942012,3.25492,3.74142,5.76712,252.654,313.094,364.603,1158100,990665,501607
256.404402774716,0.66323455860891,0.10214737780122,0.0722179635898703,5.3995,5.95568,1.69228,256.425,306.18,354.718,1036790,729983,526177
265.240937258191,0.678621424762785,0.110293040044244,0.0486854351929716,3.30328,2.53933,4.18055,257.355,301.929,363.177,1003430,940059,499009
262.618050524806,0.666231336096662,0.109270402877598,0.0620981610257404,3.37097,3.8769,5.36102,258.226,299.268,360.35,1100050,715470,472833
269.79647866657,0.656268050821659,0.110226218028867,0.0711056311494739,3.67683,4.9916,1.77976,251.343,308.524,357.451,1013450,742840,480436
250.206240286719,0.656467830902962,0.10882727766895,0.0723047914280875,4.92433,1.76908,4.71082,250.449,311.317,364.509,1174000,690278,509576
260.899487937597,0.658587877989664,0.106219693545407,0.0727923284649287,0.768655,5.30842,1.72405,259.311,305.179,352.17,1129880,729753,546581
264.799696937927,0.654599498474492,0.105763030121997,0.0772373714035109,3.86852,2.16914,2.45655,252.087,313.993,359.267,1133880,829373,451782
252.701495639439,0.68972119121634,0.104518180595448,0.0433605281882123,5.38753,3.79332,3.56288,258.87,314.504,358.561,1046450,836106,542314
