feed_pressure,feed_molarflow,feed_propane,feed_isobutane,feed_n-hexane,feed_isopentane,feed_n-heptane,rebolier_temp,reflux_ratio,top_pressure,top_molar_flow,top_propane,top_isobutane,top_n-hexane,top_isopentane,top_n-heptane,bottom_molar_flow,bottom_propane,bottom_isobutane,bottom_n-hexane,bottom_isopentane,bottom_n-heptane,cduty,rduty,solved,dwsim_time
185218.60603554343,1273.7948570726717,0.05,0.1,0.45713588970474894,0.30286411029525107,0.09,369.2071909276037,0.882852101736345,194929.5581865766,562.1629987944772,0.11329442232234758,0.22658566002522568,0.021441286322483894,0.638650133879186,2.8497450756913093e-05,562.1629987944772,1.9810583303691823e-09,2.5196809767370913e-06,0.8013167591502706,0.03760692177930855,0.16107379740838593,27029.353406757953,-33064.00312395061,True,0.791748046875
219034.49518660008,1366.6285857085154,0.05,0.1,0.4780424164337965,0.2819575835662035,0.09,360.1538995525888,0.773173797753159,195947.70524989866,448.4641653169727,0.15236876621948775,0.30461717846387165,0.023649411150064165,0.5193330664529893,3.157771358720286e-05,448.4641653169727,4.123655452172359e-08,5.88669444018413e-05,0.6999815133440348,0.1660163175521938,0.13394326092281508,20102.618996514273,-24712.640695857568,True,9.331306219100952
181448.20139164032,1332.1014515106012,0.05,0.1,0.4786946036489988,0.2813053963510012,0.09,366.6851667718507,0.7661671541515116,145678.34793969803,962.9594360257706,0.06916704661494341,0.13833409147390002,0.4020852535507562,0.3891154414609715,0.00129816689942886,962.9594360257706,4.6246931739620345e-12,4.590124547392323e-09,0.6785411205122939,6.737552900334085e-05,0.3213914993639534,52156.499368217024,-53302.75287760488,True,7.483365774154663
212803.1306428435,1252.3328559490878,0.05,0.1,0.4354564445149173,0.32454355548508274,0.09,367.64363445588714,0.9433621915285695,179214.3928109833,589.5812030510851,0.10620269132034776,0.2124041442827744,0.01719173644484165,0.6641807596636774,2.0668288358783614e-05,589.5812030510851,8.300618441419665e-10,1.103349351226191e-06,0.8075602453292882,0.02238969900522447,0.17004895148607438,29366.85932477154,-33301.61860447769,True,6.49487042427063
192004.82356630068,1257.0880364231773,0.05,0.1,0.4132339225745496,0.3467660774254504,0.09,365.11390195636125,0.7341770469553859,163852.39266257294,629.0075734221151,0.09992857565218885,0.19985632686953636,0.02669432890574803,0.673483290750809,3.747782171770006e-05,629.0075734221151,5.674395649905256e-10,8.267491754736474e-07,0.8003264685089232,0.019581488891334514,0.18009121528312724,28324.332004834603,-32241.424232490153,True,0.11729621887207031
188149.67427223953,1357.7042582023955,0.05,0.1,0.4444670384876918,0.3155329615123082,0.09,368.9302111382771,0.7300605325434616,175543.77261608638,705.404795063122,0.09623795524688376,0.19247574982959667,0.10604098728634465,0.6050370165463126,0.00020829109086231817,705.404795063122,1.7991584895052905e-10,1.7409615179174157e-07,0.8104283447092455,0.0024740768296229987,0.18709740418506382,33077.02832096656,-37881.88145498338,True,0.1587066650390625
223568.92353961992,1493.9015356416062,0.05,0.1,0.42477394569196075,0.33522605430803926,0.09,363.9389963985305,0.799630550040995,199762.9761198154,629.9546697270657,0.11857143164105552,0.2371255656714191,0.019772165770490367,0.6244999959894545,3.084092758061751e-05,629.9546697270657,8.306304117159454e-09,1.2629451141626905e-05,0.7200876812719909,0.12429718298198254,0.1556024979885808,28840.05191860287,-33466.75696766428,True,7.626171827316284
211712.68641215918,1572.404462655706,0.05,0.1,0.4501992048833434,0.3098007951166566,0.09,366.02443498307287,0.7498837341692641,198077.04287637083,661.7886628954307,0.1187972506638314,0.23758238094134218,0.029502718076373096,0.6140701729576656,4.747736078775311e-05,661.7886628954307,6.3377546730060474e-09,8.821446754437956e-06,0.7559501102043521,0.0886659849773564,0.15537507703378248,29682.1760061883,-35425.6026558466,True,8.940345287322998
186275.8825529968,1321.8853212175566,0.05,0.1,0.39957764256507,0.36042235743493,0.09,367.3826704473953,0.7795901748563097,143269.09381250746,998.6140533728264,0.0661860932906987,0.13237218541409082,0.3234679554329744,0.47707581586560627,0.0008979499966298775,998.6140533728264,3.5254498947536017e-12,3.613088163666989e-09,0.634685910383924,7.147990340290035e-05,0.36524260609605946,53019.08864514143,-53721.88139318208,True,0.7036089897155762
223067.84248535393,1367.7803646894085,0.05,0.1,0.4866174368602376,0.2733825631397624,0.09,360.3494398635194,0.9116569454756014,154020.95354089502,553.135455590757,0.12364029229196676,0.24727616302799038,0.02183212879874966,0.6072302363051771,2.1179576116091084e-05,553.135455590757,1.8537355511622577e-09,3.0058383363740042e-06,0.8021955506641281,0.04670797345716903,0.15109346818663097,27372.7843301138,-30189.15034522309,True,10.198959350585938
