feed_pressure,feed_molarflow,feed_n_hexane,feed_isopentane,reflux_ratio,rebolier_temp,top_pressure
197008.721640495,1497.46882807307,0.448439979705851,0.311560020294149,0.833780457384351,365.740423307317,169203.506145738
196491.525309187,1368.13184284121,0.516667512993923,0.243332487006077,0.755036032855531,367.665158504579,163360.442632686
203442.673968008,1272.30970877111,0.441056542339556,0.318943457660444,0.798959737309968,362.007460593203,141207.150520693
192052.099621034,1499.76206678537,0.501115804078937,0.258884195921063,0.837142170163438,368.346816024491,194033.582109589
214552.158567906,1611.50474119655,0.445718370617509,0.314281629382491,0.889482982793791,361.255537851545,153886.120624005
191339.69237255,1401.59267256855,0.467908680715424,0.292091319284576,0.782002072395982,360.514776840658,140407.856852663
177929.126854301,1539.71225023635,0.527324198375654,0.232675801624346,0.908836087855236,362.678145442697,181122.093121144
222064.886985068,1312.62113089415,0.485157019392746,0.274842980607254,0.897314532169915,367.706193073736,142859.093690601
224979.63072752,1583.68448545205,0.489717287678519,0.270282712321481,0.718245089289767,369.187395241933,176718.691663076
218040.674665363,1490.21744426356,0.403965072490688,0.356034927509312,0.817513872903207,367.146398950682,143065.512735632
190706.161179451,1499.3080646443,0.503498265403524,0.256501734596476,0.843495521446952,365.806501089998,165550.636891738
182646.446237369,1642.75386360342,0.444871142479407,0.315128857520593,0.795630502070998,364.481752779006,155676.218733375
183387.288690194,1298.69559859904,0.444034970446931,0.315965029553069,0.919501714174831,366.389662521625,191509.93317017
219571.303897102,1321.06748794913,0.438526546852907,0.321473453147093,0.73277098146551,360.285746288498,188846.48866321
175889.65261752,1251.64239434011,0.500866640849226,0.259133359150774,0.907580884571142,362.946360513782,156200.742915075
221527.19059209,1346.27591569328,0.526617387751928,0.233382612248072,0.842904727343856,365.230763170914,157219.514438043
195252.852357218,1280.40038551897,0.530043361714943,0.229956638285057,0.722533880432036,366.329567401105,165616.183522856
194172.144244542,1404.96119799759,0.431959434274916,0.328040565725084,0.830090226827442,367.975736380522,160039.461064161
196062.681201848,1569.48366285353,0.490711942280242,0.269288057719758,0.866536955960555,360.442466703492,181359.160337901
212442.433553035,1296.87342518189,0.430642951390696,0.329357048609304,0.85811324139932,360.437146321132,166370.953107992
217870.018716314,1649.36755037648,0.409855871588528,0.350144128411472,0.750583829756223,361.669394879694,171555.403336637
175919.902087599,1516.23662335462,0.470963414071026,0.289036585928974,0.777054594412158,360.653786030235,183131.026371411
211874.841072277,1526.60449639549,0.491232837789614,0.268767162210386,0.887606905029523,367.177368790751,180613.339088481
214989.979049291,1612.86021331433,0.389188082371574,0.370811917628426,0.79930358518606,361.899096073831,193092.708206734
192620.258701508,1618.82751012414,0.416806964743403,0.343193035256597,0.74504121095801,369.30054674565,141078.027940825
188787.79876911,1573.09791488841,0.509549769063933,0.250450230936067,0.733465962180198,368.472826383604,168347.664278787
207966.611451822,1562.05843319055,0.483940160542541,0.276059839457459,0.813560334996038,368.547733980872,172487.195406605
223205.649934432,1338.73799897777,0.49689034343544,0.26310965656456,0.754557976539627,369.303270314757,197458.789507179
183848.000810477,1446.10233488895,0.407944081264946,0.352055918735054,0.79166268613554,360.093625943036,154664.366397957
193340.581216493,1353.99365105187,0.51424649349787,0.24575350650213,0.814044265055735,369.042678790745,140615.83557761
224864.402839723,1379.76545378585,0.44665151888404,0.31334848111596,0.938355272333504,364.690599693593,169660.226450912
185641.484642252,1582.35299307526,0.419058780787801,0.340941219212199,0.751515108964491,367.558647194898,182455.702880599
216756.53310571,1476.46358649749,0.409019215822846,0.350980784177154,0.791943946815991,366.294149742206,144184.079250768
179132.338004754,1586.97949874126,0.403410044667764,0.356589955332236,0.893461516450037,360.126523288703,197320.495658414
200508.954156849,1326.3656310661,0.449177528710682,0.310822471289318,0.867641527998233,367.180923846263,145120.457749934
222236.979243891,1440.66475942035,0.465156412518213,0.294843587481787,0.936050309193316,364.272858140566,186805.258003675
206367.20204882,1438.63549498438,0.441512800241564,0.318487199758436,0.830369612027243,363.154364518849,195873.469592976
205375.784541215,1507.15507428837,0.479851715794586,0.280148284205414,0.703266234169602,363.096179900727,166946.594626331
222721.059506571,1309.90640764357,0.446874235227855,0.313125764772145,0.938378169856719,366.755337628277,167159.568970127
205940.625398018,1332.40548635634,0.385672657301215,0.374327342698785,0.846742382936549,368.153768070535,185240.777724009
218381.729761503,1627.58898024381,0.522232610818179,0.237767389181821,0.811909998781184,368.747525073388,150229.006359771
219916.447408536,1367.98065895528,0.439813005745628,0.320186994254372,0.829157625136586,364.742587096103,191261.23924166
179932.434139931,1594.93988743938,0.484440085906606,0.275559914093394,0.778827480662603,368.55299150712,140262.305157346
205599.750201033,1461.37294818752,0.463190420365519,0.296809579634481,0.769292484031455,362.59356917671,199467.760370419
204380.851027423,1303.08275507418,0.44323130982045,0.31676869017955,0.948609042280345,364.315898009133,160964.862929601
190225.807939346,1289.67404866338,0.390053508814844,0.369946491185156,0.924243968888916,367.996921382988,143415.147290496
185692.086195245,1642.85060695305,0.450574462642533,0.309425537357467,0.724518204693043,364.878405899229,151950.469054934
177541.777438897,1338.19562240581,0.530344258112365,0.229655741887635,0.710850604626209,369.375016438854,182192.903982918
206583.518414408,1499.03401392589,0.518354941271935,0.241645058728065,0.735396583064248,368.625316990228,177430.369566479
176837.763770821,1499.9555980358,0.427453406500296,0.332546593499704,0.872115723898031,363.925395826034,198802.39456093
197233.212595131,1621.15085716225,0.530012079662362,0.229987920337638,0.742356838021491,369.912384746452,158329.240712444
193102.548199806,1404.14998036682,0.46467487318428,0.29532512681572,0.791426728692687,361.626610296411,180488.40515634
211495.180973634,1258.7016751245,0.407541596956556,0.352458403043444,0.798367721316297,365.455125188193,144300.997596687
193052.061744855,1312.61563733781,0.531743827886565,0.228256172113435,0.844767881824441,369.076317399165,142138.634479587
198466.369047463,1306.0121323651,0.502800230339544,0.257199769660456,0.823288290622067,367.253210019898,166528.997226691
187668.496960747,1575.17153221572,0.445012914427254,0.314987085572746,0.940970752994295,364.703791026599,173283.931132134
223309.824692667,1449.82750807407,0.514641617158525,0.245358382841475,0.91769498489092,366.22507346847,193562.696748166
180818.392945317,1324.6631815452,0.509005041882601,0.250994958117399,0.704426125333348,366.876395613936,160310.684752854
189334.18446384,1255.40283489604,0.406915640233584,0.353084359766416,0.755889719311639,364.090902812159,161915.393582508
178392.85422375,1505.29937288095,0.44955601136522,0.31044398863478,0.86275387795548,361.946726502388,169362.151285876
200202.143979238,1501.59285262292,0.386164061011839,0.373835938988161,0.841615926416883,362.966066233516,196597.356626968
188104.925130852,1642.70219166932,0.504043250350988,0.255956749649012,0.779755988032761,369.432545959084,174790.498160123
210576.149594797,1361.3004502177,0.438184482463459,0.321815517536541,0.907976444589716,360.225796167312,175683.630170898
218438.244770138,1447.4061996206,0.442895673546238,0.317104326453762,0.949677482552585,360.807126767223,161061.963955606
223549.055851609,1261.84563248179,0.50734862471521,0.25265137528479,0.748560567368854,368.44067603618,141059.883059535
195591.422722143,1428.02970897193,0.497848169463152,0.262151830536848,0.923044660748986,365.991726260166,157881.023961521
193435.709750339,1456.90061355379,0.46957790564086,0.29042209435914,0.892654703026543,367.766253268013,144633.375898106
219589.884693223,1442.72712508723,0.394777546565686,0.365222453434314,0.779527613839257,363.869714365267,159683.174239884
175703.275126756,1298.86905751834,0.506195617772817,0.253804382227183,0.917376323094396,368.68727727725,146815.125095623
190705.146984817,1330.01707501266,0.484640391302488,0.275359608697512,0.933089796982543,362.759257051943,149413.297112602
211733.281016502,1302.87761791984,0.505212930255307,0.254787069744693,0.82866836439759,369.163317070101,193991.247801362
184388.013755631,1487.08419782509,0.433141682942544,0.326858317057456,0.818657263716707,368.231996809221,185925.158830846
179104.561276583,1312.65607251223,0.3932249907682,0.3667750092318,0.877540654654839,367.200108064437,184988.843904045
193514.577487379,1583.69144616823,0.387008810027578,0.372991189972422,0.724070208495807,361.75710942382,169654.594233959
206499.150582174,1413.3299856945,0.403082756914961,0.356917243085039,0.789947761077127,360.307951497635,155889.202773654
182165.709549611,1593.67537730208,0.524186323810647,0.235813676189353,0.764757920508222,361.958891786675,168715.663111493
221437.656008757,1309.7524825337,0.399964098687824,0.360035901312176,0.828329696600844,364.345359575075,156079.699982857
190565.107905411,1304.90549220317,0.534704124810423,0.225295875189577,0.820326241766801,364.787326965401,185005.367858412
