output_collector_flowrate__l_m_,output_collector_pressure__kPa_,output_1_Line1_flowrate__l_m_,output_1_Line1_pressure__kPa_,output_1_Line1_power__W_,output_1_Line2_flowrate__l_m_,output_1_Line2_pressure__kPa_,output_1_Line2_power__W_,output_1_Line3_flowrate__l_m_,output_1_Line3_pressure__kPa_,output_1_Line3_power__W_,output_1_Line4_flowrate__l_m_,output_1_Line4_pressure__kPa_,output_1_Line4_power__W_
224.40279427694,108.707625154844,54.8120713251784,255.747770112175,-467.122465730189,76.6167347795085,246.108739892426,-542.199514438043,35.8001290928285,284.937276080665,-351.668015293111,56.553155407722,261.62324836676,-441.445657205894
269.970991013376,116.870240612086,81.3223827188012,264.323374667562,-551.712566825416,73.629584170087,254.373830260804,-456.458913945948,54.8508131525513,293.390136754267,-442.070846886441,59.4888826357665,269.944487953166,-544.498130318871
243.908060111106,121.004355391253,50.13704773885,268.078852491709,-382.573912701542,57.4392779281004,258.313761863923,-524.287746971537,63.1343954334494,297.552557882454,-642.865420096997,72.6086375524196,274.156495605016,-644.257132519475
314.947634186187,122.221415890386,89.8413590978682,269.919968577346,-633.297900318925,80.3084806136626,259.926540981005,-581.661785835669,80.4016381712642,299.165730228707,-638.248159016414,63.6476404511696,275.47357431167,-541.041797606295
282.885782474648,122.830552844013,61.6317178888574,270.114365199135,-556.225211571778,75.6990732020461,260.401259436861,-513.984595799253,79.2046735787967,299.670183123712,-633.721056584028,65.6815624223907,276.013599783444,-549.401126317228
252.909998363606,150.626323461753,48.3682865448343,297.765358827978,-434.848792033754,81.4309970201501,288.22691065602,-636.866877177039,57.6550744838623,327.201386376273,-467.235099195638,65.0105240041829,303.778716386721,-591.834381863589
260.831563285735,127.4444173726,80.3107657622493,274.885209179731,-649.539775704316,55.7235019220193,264.796282418327,-468.323652737128,64.8675217136196,304.068058606734,-602.818965508433,59.3449146197175,280.517569199599,-514.933801489036
273.838148105151,113.551309757844,66.9597729833868,260.843615799222,-574.334988881206,73.4271466798307,251.055401707511,-643.866812753461,62.6542599427833,290.151571143803,-516.521854019217,70.0777911010592,266.734034304554,-578.970556422237
259.863501417172,117.493782856522,74.3421027261863,264.840123876131,-578.401508729134,64.5854528954788,254.892521736773,-560.694126831813,51.6056660866938,293.958836438893,-481.196084930202,68.6805685580667,270.635088104999,-625.959689427374
185.398278279354,148.245006000592,60.2331312391097,295.336815241711,-551.30983104518,35.1543723810798,285.332533599871,-359.902655298972,44.2424841905868,324.544741661516,-373.304797404012,45.4329788551468,301.069447432848,-429.029546507592
