Output,Units,Mean Error,Std. Error,Sampled Mean,Sampled Max
Column 1 Condenser Duty,kW,14.1757202148438,13.3051633834839,7892.28369140625,16359.1552734375
Column 1 Reboiler Duty,kW,13.9708223342896,13.1991376876831,5322.08837890625,13084.5693359375
Column 2 Condenser Duty,kW,4.94449281692505,5.13855361938477,1669.57836914062,6956.89892578125
Column 2 Reboiler Duty,kW,5.5188136100769,5.70448637008667,2300.232421875,8111.86572265625
Column 3 Condenser Duty,kW,4.71151733398438,4.51331615447998,2339.609375,7010.23779296875
Column 3 Reboiler Duty,kW,4.6734881401062,4.61175060272217,2272.13110351562,6827.74267578125
Compressor Duty,kW,0.0286456048488617,0.0245669279247522,28.0978527069092,41.9065933227539
Cooler Duty,kW,1.05899703502655,0.962696313858032,1384.64672851562,2117.4091796875
Expander Duty,kW,0.510934472084045,0.467651575803757,685.236022949219,970.543029785156
Heater Duty,kW,1.06733882427216,1.04817807674408,939.737609863281,2153.92163085938
Product 1 Molar Flow,mol/s,0.157046303153038,0.148660704493523,268.861694335938,362.792022705078
Product 1 Methane Molar Fraction,-,9.30403803067748e-06,8.493372661178e-06,0.8978071808815,0.904406130313873
Product 1 Nitrogen Molar Fraction,-,9.00714803719893e-06,8.26048290036852e-06,0.102192841470242,0.110217958688736
Bottom 1 Molar Flow,mol/s,0.0443695783615112,0.0431350581347942,65.3788375854492,101.843109130859
Bottom 1 Methane Molar Fraction,-,6.78706783219241e-05,7.22734112059698e-05,0.0321357138454914,0.0684529319405556
Bottom 1 Ethane Molar Fraction,-,0.000222185233724304,0.000195389555301517,0.451758116483688,0.587727725505829
Bottom 1 N-Butane Molar Fraction,-,2.90430962195387e-05,2.59229018411133e-05,0.0680981874465942,0.0909248813986778
Bottom 1 Carbon Dioxide Molar Fraction,-,4.29000419899239e-06,3.96311861550203e-06,0.0106757488101721,0.0143893519416451
Bottom 1 N-Pentane Molar Fraction,-,1.72773798112758e-05,1.57680115080439e-05,0.0231465063989162,0.0324603654444218
Bottom 1 Isopentane Molar Fraction,-,1.30828557303175e-05,1.17611489258707e-05,0.0191881135106087,0.0268270373344421
Bottom 1 Isobutane Molar Fraction,-,5.83301953156479e-05,5.33020829607267e-05,0.152414917945862,0.203004881739616
Bottom 1 Propane Molar Fraction,-,0.000204649477382191,0.000182945994311012,0.242582708597183,0.363065630197525
Product 2 Molar Flow,mol/s,0.0333935245871544,0.0318220146000385,34.8649215698242,71.9656753540039
Product 2 Methane Molar Fraction,-,0.000142420671181753,0.000161587420734577,0.0628905668854713,0.175515696406364
Product 2 Ethane Molar Fraction,-,0.000465944583993405,0.00047797363367863,0.833391427993774,0.980212450027466
Product 2 N-Butane Molar Fraction,-,4.41683383201052e-08,2.82788931826872e-07,2.55436066254333e-06,0.000112736110168044
Product 3 Carbon Dioxide Molar Fraction,-,6.97377345204586e-07,1.67843870713114e-06,0.000108030784758739,0.0015864628367126
Product 2 Isobutane Molar Fraction,-,8.41653331917769e-07,4.66210076410789e-06,5.17480584676377e-05,0.00209071440622211
Product 2 Propane Molar Fraction,-,0.00108190556056798,0.00202812603674829,0.0829608663916588,0.460924923419952
Bottom 2 Molar Flow,mol/s,0.0301289334893227,0.0279010329395533,30.5139141082764,56.6815719604492
Bottom 2 Ethane Molar Fraction,-,0.000225942712859251,0.000409915111958981,0.0303933210670948,0.17837743461132
Bottom 2 N-Butane Molar Fraction,-,9.84870057436638e-05,9.37170698307455e-05,0.150200292468071,0.241309314966202
Bottom 2 Carbon Dioxide Molar Fraction,-,6.6723424652082e-07,1.65408005159406e-06,9.9043405498378e-05,0.00146800163201988
Bottom 2 N-Pentane Molar Fraction,-,4.30351719842292e-05,3.88309417758137e-05,0.0510380603373051,0.0855375826358795
Bottom 2 Isopentane Molar Fraction,-,3.22545347444247e-05,2.94242818199564e-05,0.0423053912818432,0.0694600641727448
Bottom 2 Isobutane Molar Fraction,-,0.000215884705539793,0.000201539834961295,0.336114287376404,0.542758941650391
Bottom 2 Propane Molar Fraction,-,0.000376913434593007,0.000348112138453871,0.389849603176117,0.585871517658234
Product 3 Molar Flow,mol/s,0.0303019676357508,0.0286254156380892,27.7054748535156,52.5441093444824
Product 3 Ethane Molar Fraction,-,0.000237373882555403,0.000430515734478831,0.0331648997962475,0.19574610888958
Product 3 N-Butane Molar Fraction,-,0.000156805457663722,0.000166630881722085,0.157975122332573,0.276263803243637
Product 3 Carbon Dioxide Molar Fraction,-,6.97377345204586e-07,1.67843870713114e-06,0.000108030784758739,0.0015864628367126
Product 3 N-Pentane Molar Fraction,-,3.8829162804177e-05,0.000171854626387358,0.00225847540423274,0.0704053267836571
Product 3 Isopentane Molar Fraction,-,7.82882925705053e-05,0.000238985958276317,0.00519008794799447,0.0644000843167305
Product 3 Isobutane Molar Fraction,-,0.000311587762553245,0.00033128511859104,0.372196972370148,0.656611680984497
Product 3 Propane Molar Fraction,-,0.000405526778195053,0.000378762721084058,0.429106414318085,0.634907901287079
Product 4 Molar Flow,mol/s,0.00661934074014425,0.0104420995339751,2.80843901634216,5.14525938034058
Product 4 N-Butane Molar Fraction,-,0.000429811392677948,0.00060906121507287,0.0734793543815613,0.241605460643768
Product 4 N-Pentane Molar Fraction,-,0.000467692530946806,0.000521343783475459,0.533668875694275,0.91168338060379
Product 4 Isopentane Molar Fraction,-,0.000413767615100369,0.000508546538185328,0.380717754364014,0.445446074008942
